arbitro_principal	arbitro_principal_quadro_fifa	aux1_quadro_fifa	aux2_quadro_fifa	auxiliares	cidade	clubem	clubev	estado_m	estado_v	clássico	data	estadio	hora	ingressos_disponiveis	porcentagem_ingresso_vendido	observacoes	Publico_pagante	placar_mandante	placar_visitante	quarto_arbitro	quarto_arbitro_quadro_fifa	renda_bruta	renda_liq	ano	rodada	vitoria_mandante	empate_mandante	derrota_mandante	vitoria_visitante	empate_vvisitante	derrota_visitante	mandante_posicao_final_rodada	Visitante_posicao_final_rodada	mandante_posicao_inicio_rodada	Visitante_posicao_inicio_rodada	final de semana
Wagner Reway-MT	N	S	N	Bruno Boschilla-PR_e_Fábio Rodrigo Rubinho-MT	Porto Alegre	Internacional-RS	Palmeiras-SP	RS	SP	0	09/09	Beira-Rio	19h30	13690	100		13690	1	0	Roger Goulart-RS	N	320630	170010.95	2015	24	1	0	0	0	0	1	11	4	11	5	0
Luís Teixeira Rocha-RS	N	N	N	Rafael da Silva Alves-RS_e_José Javel Silveira-RS	Belo Horizonte	Atlético Mineiro-MG	Avaí-SC	MG	SC	0	09/09	Independência	19h30	12437	83.5		10388	2	0	Flávio Henrique Coutinho Teixeira-MG	N	359570	-28202.85	2015	24	1	0	0	0	0	1	2	19	2	19	0
Dewson Fernando Freitas da Silva-PA	S	N	N	Márcio Gleidson Correia Dias-PA_e_Nailton Júnior de Sousa Oliveira-CE	Florianópolis	Figueirense-SC	Atlético Paranaense-PR	SC	PR	0	09/09	Orlando Scarpelli	21h00	5890	100		5890	1	1	Carlos Eduardo Vieira Areas-SC	N	75340	43495.95	2015	24	0	1	0	0	1	0	16	7	16	6	0
André Luiz de Freitas Castro-GO	N	S	S	Alessandro Álvaro Rocha Mattos-BA_e_Kléber Lúcio Gil-SC	São Paulo	Corinthians-SP	Grêmio-RS	SP	RS	0	09/09	Arena Corinthians	22h00	30126	100		30126	1	1	Leandro Bizzio Marinho-SP	N	1635173.5	956546.74	2015	24	0	1	0	0	1	0	1	3	1	3	0
Luiz Flávio de Oliveira-SP	S	S	N	Emerson Augusto de Carvalho-SP_e_Miguel Cataneo Ribeiro da Costa-SP	Santos	Santos-SP	São Paulo-SP	SP	SP	1	09/09	Vila Belmiro	22h00	6018	92.3		5552	3	0	Rodrigo Guarizo Ferreira do Amaral-SP	N	342290	91780.16	2015	24	1	0	0	0	0	1	4	4	8	4	0
Leandro Pedro Vuaden-RS	S	N	N	José Eduardo Calza-RS_e_Vanderson Zanotti-ES	Curitiba	Coritiba-PR	Fluminense-RJ	PR	RJ	0	09/09	Couto Pereira	22h00	12619	100		12619	1	1	Rafael Traci-PR	N	190895	-40990.5	2015	24	0	1	0	0	1	0	16	10	16	10	0
Thiago Duarte Peixoto-SP	N	N	N	Anderson José de Moraes Coelho-SP_e_Fabrício Porfirio de Moura-SP	Goiânia	Goiás-GO	Sport-PE	GO	PE	0	10/09	Serra Dourada	19h30	2190	100		2189	1	0	Everton Gomes-GO	N	44665	14898.26	2015	24	1	0	0	0	0	1	12	9	13	8	0
Marcelo Aparecido Ribeiro de Souza-SP	N	N	N	Vicente Romano Neto-SP_e_Herman Brumel Vani-SP	Rio de Janeiro	Flamengo-RJ	Cruzeiro-MG	RJ	MG	0	10/09	Maracanã	21h00	39947	96.5		38539	2	0	Pathrice Wallace Correa Maia-RJ	N	1124447.5	255884.01	2015	24	1	0	0	0	0	1	7	12	7	12	0
Bráulio da Silva Machado-SC	N	N	N	Rosnei Hoffmann Scherer-SC_e_Thiago Americano Labes-SC	Joinville	Joinville-SC	Chapecoense-SC	SC	SC	1	10/09	Arena Joinville	21h00	7387	100		7387	0	0	Eduardo Cordeiro Guimarães-SC	N	89410	33369.84	2015	24	0	1	0	0	1	0	18	14	18	13	0
Raphael Claus-SP	S	S	N	Marcelo Carvalho Van Gasse-SP_e_Rogério Pablos Zanardo-SP	Curitiba	Coritiba-PR	Internacional-RS	PR	RS	0	12/09	Couto Pereira	18h30	14656	100		14656	0	1	Edivaldo Elias da Silva-PR	N	256595	12502.27	2015	25	0	0	1	1	0	0	16	10	16	11	1
