arbitro_principal	arbitro_principal_quadro_fifa	aux1_quadro_fifa	aux2_quadro_fifa	auxiliares	cidade	clubem	clubev	estado_m	estado_v	clássico	data	estadio	hora	ingressos_disponiveis	porcentagem_ingresso_vendido	observacoes	Publico_pagante	placar_mandante	placar_visitante	quarto_arbitro	quarto_arbitro_quadro_fifa	renda_bruta	renda_liq	ano	rodada	vitoria_mandante	empate_mandante	derrota_mandante	vitoria_visitante	empate_vvisitante	derrota_visitante	mandante_posicao_final_rodada	Visitante_posicao_final_rodada	mandante_posicao_inicio_rodada	Visitante_posicao_inicio_rodada	final de semana
Leandro Pedro Vuaden-RS	S	N	N	Rafael da Silva Alves-RS_e_Marcelo Bertanha Barison-RS	Chapecó	Chapecoense-SC	Botafogo-RJ	SC	RJ	0	23/11	Arena Condá	19h30	14343	100		14343	2	0	Edmundo Alves do Nascimento-SC	N	131010	81978.38	2014	36	1	0	0	0	0	1	12	19	13	19	1
Ricardo Marques Ribeiro-MG	S	S	N	Márcio Eustáquio Santiago-MG_e_Guilherme Dias Camilo-MG	Porto Alegre	Internacional-RS	Palmeiras-SP	RS	SP	0	29/11	Beira-Rio	19h30	36508	100		36508	3	1	Roger Goulart-RS	N	991405	703208.71	2014	37	1	0	0	0	0	1	5	18	4	17	1
Wagner Reway-MT	N	N	N	Danilo Ricardo Simon Manis-SP_e_Eduardo Gonçalves da Cruz-MS	Criciúma	Criciúma-SC	Sport-PE	SC	PE	0	29/11	Heriberto Hulse	19h30	2338	100		2338	2	2	Carlos Eduardo Vieira Areas-SC	N	25640	-4083.07	2014	37	0	1	0	0	1	0	20	12	20	12	1
Elmo Alves Resende Cunha-GO	N	N	N	Paulo César Silva Faria-MT_e_Jesmar Benedito Miranda de Paula-GO	Manaus	Flamengo-RJ	Vitória-BA	RJ	BA	0	29/11	Arena da Amazônia	21h00	17860	100		17860	4	0	João Batista Cunha de Brito-AM	N	1520495	679471.41	2014	37	1	0	0	0	0	1	10	17	10	16	1
Wilton Pereira Sampaio-GO	S	S	N	Fabrício Vilarinho da Silva-GO_e_Cristhian Passos Sorence-GO	Rio de Janeiro	Fluminense-RJ	Corinthians-SP	RJ	SP	0	30/11	Maracanã	17h00	19231	85.8		16509	5	2	Pathrice Wallace Correa Maia-RJ	N	496155	157867.78	2014	37	1	0	0	0	0	1	3	4	6	3	1
Antônio Denival de Morais-PR	N	N	N	Ivan Carlos Bohn-PR_e_Rafael Trombeta-PR	São Paulo	São Paulo-SP	Figueirense-SC	SP	SC	0	30/11	Morumbi	17h00	35616	93.6		33334	1	1	Flávio Rodrigues de Souza-SP	N	913475	537510.54	2014	37	0	1	0	0	1	0	2	12	2	14	1
Paulo Henrique Godoy Bezerra-SC	N	S	N	Fábio Pereira-TO_e_Marrubson Melo Freitas-DF	Santos	Santos-SP	Botafogo-RJ	SP	RJ	0	30/11	Vila Belmiro	17h00	4887	87.4		4269	2	0	Marcelo Aparecido Ribeiro de Souza-SP	N	126750	190.23	2014	37	1	0	0	0	0	1	9	19	9	19	1
Grazianni Maciel Rocha-RJ	N	N	N	Dibert Pedrosa Moisés-RJ_e_Ciro Chaban-DF	Chapecó	Chapecoense-SC	Cruzeiro-MG	SC	MG	0	30/11	Arena Condá	17h00	8067	100		8067	1	1	Rodrigo D'Alonso Ferreira-SC	N	99750	56090.77	2014	37	0	1	0	0	1	0	12	1	12	1	1
Thiago Duarte Peixoto-SP	N	N	N	Miguel Cataneo Ribeiro da Costa-SP_e_Marcus Vinicius Gomes-MG	Curitiba	Atlético Paranaense-PR	Goiás-GO	PR	GO	0	30/11	Arena da Baixada	19h30	12807	100		12807	1	0	Adriano Milczvski-PR	N	188460	35072.05	2014	37	1	0	0	0	0	1	8	11	8	11	1
Pablo dos Santos Alves-ES	N	S	N	Cleriston Clay Barreto Rios-SE_e_Fabiano da Silva Ramires-ES	Belo Horizonte	Atlético Mineiro-MG	Coritiba-PR	MG	PR	0	30/11	Independência	19h30	19755	96.3		19029	1	2	Marcos Vinícius de Sá dos Santos-MG	N	665020	311150.17	2014	37	0	0	1	1	0	0	5	12	4	15	1
Dewson Fernando Freitas da Silva-PA	N	S	N	Bruno Boschilla-PR_e_Márcio Gleidson Correia Dias-PA	Salvador	Bahia-BA	Grêmio-RS	BA	RS	0	30/11	Arena Fonte Nova	19h30	5539	100		5539	1	0	Jaílson Macedo Freitas-BA	N	130102.5	-66663.49	2014	37	1	0	0	0	0	1	16	7	17	7	1
Dewson Fernando Freitas da Silva-PA	N	S	N	Cleriston Clay Barreto Rios-SE_e_Márcio Gleidson Correia Dias-PA	São Paulo	Corinthians-SP	Criciúma-SC	SP	SC	0	06/12	Arena Corinthians	16h30	38044	100		38044	2	1	Thiago Duarte Peixoto-SP	N	2753362.5	1757258.75	2014	38	1	0	0	0	0	1	3	20	4	20	1
Marielson Alves Silva-BA	N	S	N	Alessandro Álvaro Rocha Mattos-BA_e_Luiz Carlos Silva Teixeira-BA	Florianópolis	Figueirense-SC	Internacional-RS	SC	RS	0	06/12	Orlando Scarpelli	16h30	7027	100		7027	1	2	Evandro Bender-SC	N	252035	198734.14	2014	38	0	0	1	1	0	0	13	3	12	5	1
Manoel Nunes Lopo Garrido-BA	N	N	N	Lincoln Ribeiro Taques-MT_e_Risley Pinheiro-DF	Brasília	Botafogo-RJ	Atlético Mineiro-MG	RJ	MG	0	07/12	Mané Garrincha	17h00	3694	100		3694	0	0	Sávio Sampaio-DF	N	264120	-35186.42	2014	38	0	1	0	0	1	0	19	6	19	5	1
Wagner Reway-MT	N	N	N	Danilo Ricardo Simon Manis-SP_e_Eduardo Gonçalves da Cruz-MS	São Lourenço da Mata	Sport-PE	São Paulo-SP	PE	SP	0	07/12	Arena Pernambuco	17h00	37680	88.9		33496	1	0	Gleydson Leite-PE	N	1011655	784701.99	2014	38	1	0	0	0	0	1	12	2	12	2	1
Leandro Pedro Vuaden-RS	S	N	N	Marcelo Bertanha Barison-RS_e_José Antônio Chaves Franco Filho-RS	São Paulo	Palmeiras-SP	Atlético Paranaense-PR	SP	PR	0	07/12	Allianz Parque	17h00	33222	99.8		33151	1	1	Paulo Henrique Godoy Bezerra-SC	N	2976260	1907540.87	2014	38	0	1	0	0	1	0	18	8	18	8	1
Marcelo de Lima Henrique-RJ	S	N	N	Rodrigo F. Henrique Correa-RJ_e_Luiz Cláudio Regazone-RJ	Curitiba	Coritiba-PR	Bahia-BA	PR	BA	0	07/12	Couto Pereira	17h00	25550	100		25550	3	2	Renato Cardoso Conceição-MG	N	666712	309138.24	2014	38	1	0	0	0	0	1	13	16	12	16	1
Raphael Claus-SP	N	N	N	Marcos Rogério da Silva-PR_e_Márcia B. Lopes Caetano-RO	Belo Horizonte	Cruzeiro-MG	Fluminense-RJ	MG	RJ	0	07/12	Mineirão	17h00	45809	100		45804	2	1	Flávio Henrique Coutinho Teixeira-MG	N	2661430	80938.3	2014	38	1	0	0	0	0	1	1	3	1	3	1
Anderson Daronco-RS	N	S	N	Fábio Pereira-TO_e_Rafael da Silva Alves-RS	Salvador	Vitória-BA	Santos-SP	BA	SP	0	07/12	Manoel Barradas (Barradão)	17h00	9524	87.4		8326	0	1	Nielson Nogueira Dias-PE	N	57520	-23710.57	2014	38	0	0	1	1	0	0	16	8	17	9	1
Luiz Flávio de Oliveira-SP	N	N	N	Márcio Luiz Augusto-SP_e_Ângelo Rudimar Bechi-SC	Porto Alegre	Grêmio-RS	Flamengo-RJ	RS	RJ	0	07/12	Arena do Grêmio	17h00	13713	100		13713	1	1	Daniel Nobre Bins-RS	N	419918	317485.33	2014	38	0	1	0	0	1	0	7	10	7	10	1
Flávio Feijó de Omena-AL	N	N	N	Jackson L. Massarra dos Santos-RJ_e_Adson Márcio Lopes Leal-BA	Goiânia	Goiás-GO	Chapecoense-SC	GO	SC	0	07/12	Serra Dourada	17h00	1475	100		1475	4	2	Cléber Vaz-GO	N	9430	-13519.47	2014	38	1	0	0	0	0	1	11	15	11	12	1
Marcelo de Lima Henrique-RJ	S	S	S	Fábio Pereira-TO_e_Rodrigo F. Henrique Correa-RJ	Salvador	Vitória-BA	Internacional-RS	BA	RS	0	25/05	Arena Fonte Nova	18h30	12135	73.8		8955	2	2	José Leandro da Silva Nazaré-BA	N	248247.5	-56921.77	2013	1	0	1	0	0	1	0	8	8	0	0	1
Elmo Alves Resende Cunha-GO	N	N	N	Cristhian Passos Sorence-GO_e_João Patrício de Araújo-GO	Rio de Janeiro	Vasco-RJ	Portuguesa-SP	RJ	SP	0	25/05	São Januário	18h30	9177	89.7		8229	1	0	Bruno Arleu de Araújo-RJ	N	209485	31290.62	2013	1	1	0	0	0	0	1	5	14	0	0	1
Leandro Pedro Vuaden-RS	S	S	N	Fabrício Vilarinho da Silva-GO_e_Dibert Pedrosa Moisés-RJ	São Paulo	Corinthians-SP	Botafogo-RJ	SP	RJ	0	25/05	Pacaembu	21h00	29400	99.6		29295	1	1	Flávio Rodrigues de Souza-SP	N	940359	602397.84	2013	1	0	1	0	0	1	0	8	8	0	0	1
Guilherme Ceretta de Lima-SP	N	N	N	Vicente Romano Neto-SP_e_Celso Barbosa de Oliveira-SP	Caxias do Sul	Grêmio-RS	Náutico-PE	RS	PE	0	26/05	Alfredo Jaconi	16h00	24100	39.7		9560	2	0	Francisco de Paula dos Santos Silva Neto-RS	N	268290	193667.78	2013	1	1	0	0	0	0	1	2	17	0	0	1
Vinícius Furlan-SP	N	N	N	Danilo Ricardo Simon Manis-SP_e_Daniel Paulo Ziolli-SP	Campinas	Ponte Preta-SP	São Paulo-SP	SP	SP	1	26/05	Moisés Lucarelli	16h00	7598	82.5		6267	0	2	Thiago Duarte Peixoto-SP	N	84888	20186.61	2013	1	0	0	1	1	0	0	17	2	0	0	1
Márcio Chagas da Silva-RS	N	N	N	Marcelo Bertanha Barison-RS_e_Rafael da Silva Alves-RS	Criciúma	Criciúma-SC	Bahia-BA	SC	BA	0	26/05	Heriberto Hulse	16h00	10355	100		10355	3	1	Jefferson Schmidt-SC	N	118570	83051.09	2013	1	1	0	0	0	0	1	2	17	0	0	1
Wilton Pereira Sampaio-GO	S	S	N	Emerson Augusto de Carvalho-SP_e_Marrubson Melo Freitas-DF	Brasília	Santos-SP	Flamengo-RJ	SP	RJ	0	26/05	Mané Garrincha	16h00	63501	100		63501	0	0	Rogério Bueno-DF	N	6948710	4321386.59	2013	1	0	1	0	0	1	0	8	8	0	0	1
Ricardo Marques Ribeiro-MG	S	S	S	Alessandro Álvaro Rocha Mattos-BA_e_Marcelo Carvalho Van Gasse-SP	Macaé	Fluminense-RJ	Atlético Paranaense-PR	RJ	PR	0	26/05	Cláudio Moacyr	18h30	5791	41.2		2386	2	1	Philip Georg Bennett-RJ	N	36410	-36233.61	2013	1	1	0	0	0	0	1	5	14	0	0	1
Ronan Marques da Rosa-SC	N	N	N	Carlos Berkenbrock-SC_e_Fabiano da Silva Ramires-ES	Belo Horizonte	Cruzeiro-MG	Goiás-GO	MG	GO	0	26/05	Independência	18h30	14743	81.5		12018	5	0	Wanderson Alves de Souza-MG	N	327680	37709.83	2013	1	1	0	0	0	0	1	1	20	0	0	1
Wagner do Nascimento Magalhães-RJ	N	N	N	Luiz Antônio Muniz de Oliveira-RJ_e_Jackson L. Massarra dos Santos-RJ	Curitiba	Coritiba-PR	Atlético Mineiro-MG	PR	MG	0	26/05	Couto Pereira	18h30	14189	100		14189	2	1	Fábio Filipus-PR	N	206204	-88011.37	2013	1	1	0	0	0	0	1	5	14	0	0	1
André Luiz de Freitas Castro-GO	N	N	N	Marco Antônio Moreira-GO_e_Bruno Pires-GO	Curitiba	Atlético Paranaense-PR	Cruzeiro-MG	PR	MG	0	29/05	Érton Coelho Queiróz	15h00	3366	100		3366	2	2	Antônio Denival de Morais-PR	N	41700	-27935.37	2013	2	0	1	0	0	1	0	15	2	14	1	0
Jaílson Macedo Freitas-BA	N	N	N	Luiz Carlos Silva Teixeira-BA_e_Elicarlos Franco de Oliveira-BA	Volta Redonda	Botafogo-RJ	Santos-SP	RJ	SP	0	29/05	Raulino de Oliveira	19h30	15700	7.6		1186	2	1	Pathrice Wallace Correa Maia-RJ	N	37945	-35800.91	2013	2	1	0	0	0	0	1	5	15	8	8	0
Márcio Chagas da Silva-RS	N	S	N	Kléber Lúcio Gil-SC_e_Nadine Schramm Camara Bastos-SC	São Paulo	São Paulo-SP	Vasco-RJ	SP	RJ	0	29/05	Morumbi	19h30	11835	68.3		8079	5	1	Thiago Duarte Peixoto-SP	N	204060	103608.53	2013	2	1	0	0	0	0	1	1	14	2	5	0
Jean Pierre Gonçalves Lima-RS	N	S	N	Altemir Hausmann-RS_e_José Javel Silveira-RS	Juiz de Fora	Flamengo-RJ	Ponte Preta-SP	RJ	SP	0	29/05	Mário Helênio	21h00	17279	51.7		8932	0	2	Marcos Vinícius de Sá dos Santos-MG	N	353115	142630.16	2013	2	0	0	1	1	0	0	17	8	8	17	0
Francisco Carlos Nascimento-AL	S	N	N	Pedro Jorge Santos de Araújo-AL_e_Esdras Mariano de Lima-AL	Salvador	Bahia-BA	Coritiba-PR	BA	PR	0	29/05	Pituaçu	21h00	6046	80.6		4874	0	0	Johnn Herbert Alves Bispo-BA	N	40629	-29788.01	2013	2	0	1	0	0	1	0	17	5	17	5	0
Alício Pena Júnior-MG	N	N	N	Guilherme Dias Camilo-MG_e_Pablo Almeida Costa-MG	Recife	Náutico-PE	Vitória-BA	PE	BA	0	29/05	Aflitos	21h00	11027	95.2		10493	0	3	Gilberto Freire de Farias-PE	N	175520	137477.84	2013	2	0	0	1	1	0	0	20	3	17	8	0
Rodrigo Nunes de Sá-RJ	N	N	N	Wagner de Almeida Santos-RJ_e_Luiz Cláudio Regazone-RJ	Goiânia	Goiás-GO	Corinthians-SP	GO	SP	0	29/05	Serra Dourada	22h00	37588	82.7		31074	1	1	Bruno Rezende-GO	N	815800	565144	2013	2	0	1	0	0	1	0	19	13	20	8	0
Raphael Claus-SP	N	N	N	Rogério Pablos Zanardo-SP_e_Ricardo Pavanelli Lanutto-SP	Caxias do Sul	Internacional-RS	Criciúma-SC	RS	SC	0	30/05	Centenário	19h30	6883	100		6883	2	0	Diego Almeida Real-RS	N	127670	51105.93	2013	2	1	0	0	0	0	1	4	8	8	2	0
André Luiz de Freitas Castro-GO	N	N	N	Bruno Boschilla-PR_e_Cristhian Passos Sorence-GO	Sete Lagoas	Atlético Mineiro-MG	Grêmio-RS	MG	RS	0	09/06	Arena do Jacaré	18h30	13289	43.3		5753	2	0	Flávio Henrique Coutinho Teixeira-MG	N	205295	64361.6	2013	2	1	0	0	0	0	1	7	8	14	2	1
Emerson de Almeida Ferreira-MG	N	N	N	Carlos Berkenbrock-SC_e_Pablo Almeida Costa-MG	São Paulo	Portuguesa-SP	Fluminense-RJ	SP	RJ	0	12/06	Canindé	22h00	2377	49.7		1182	2	1	Rodrigo Guarizo Ferreira do Amaral-SP	N	29690	-15415.44	2013	2	1	0	0	0	0	1	8	8	14	5	0
Wilton Pereira Sampaio-GO	S	N	N	Evandro Gomes Ferreira-GO_e_Márcio Soares-GO	Volta Redonda	Botafogo-RJ	Cruzeiro-MG	RJ	MG	0	01/06	Raulino de Oliveira	16h20	15700	17.1		2685	2	1	Leonardo Garcia Cavaleiro-RJ	N	89875	-410.89	2013	3	1	0	0	0	0	1	3	5	5	2	1
Leandro Pedro Vuaden-RS	S	S	N	Emerson Augusto de Carvalho-SP_e_José Antônio Chaves Franco Filho-RS	Joinville	Atlético Paranaense-PR	Flamengo-RJ	PR	RJ	0	01/06	Arena Joinville	16h20	8986	100		8986	2	2	Jefferson Schmidt-SC	N	456060	295477.47	2013	3	0	1	0	0	1	0	14	18	15	17	1
Marcelo de Lima Henrique-RJ	S	S	S	Fabrício Vilarinho da Silva-GO_e_Rodrigo F. Henrique Correa-RJ	Santos	Santos-SP	Grêmio-RS	SP	RS	0	01/06	Vila Belmiro	16h20	7638	82.9		6329	1	1	Vinícius Furlan-SP	N	183845	54943.33	2013	3	0	1	0	0	1	0	14	10	15	8	1
Heber Roberto Lopes-PR	S	N	N	Carlos Berkenbrock-SC_e_José Roberto Larroyd-SC	Salvador	Vitória-BA	Vasco-RJ	BA	RJ	0	01/06	Manoel Barradas (Barradão)	18h30	12202	94.5		11535	2	0	Cosme Iran Sabino Júnior-BA	N	205670	95400.46	2013	3	1	0	0	0	0	1	2	17	3	14	1
Nielson Nogueira Dias-PE	N	N	N	Clóvis Amaral da Silva-PE_e_Elan Vieira de Souza-PE	Goiânia	Goiás-GO	Coritiba-PR	GO	PR	0	01/06	Serra Dourada	18h30	17809	32.7		5817	1	1	Cléber Vaz-GO	N	118045	65307.08	2013	3	0	1	0	0	1	0	19	6	19	5	1
Rodrigo Guarizo Ferreira do Amaral-SP	N	N	N	Anderson José de Moraes Coelho-SP_e_Herman Brumel Vani-SP	São Paulo	Corinthians-SP	Ponte Preta-SP	SP	SP	1	01/06	Pacaembu	21h00	24635	99.2		24449	1	0	Leandro Bizzio Marinho-SP	N	759630.5	446693.77	2013	3	1	0	0	0	0	1	6	13	13	8	1
Sandro Meira Ricci-PE	S	S	S	Alessandro Álvaro Rocha Mattos-BA_e_Altemir Hausmann-RS	Belo Horizonte	Atlético Mineiro-MG	São Paulo-SP	MG	SP	0	02/06	Independência	18h30	14040	77.1		10830	0	0	Renato Cardoso Conceição-MG	N	344250	91332.47	2013	3	0	1	0	0	1	0	8	1	7	1	1
Guilherme Ceretta de Lima-SP	N	S	N	Marcelo Carvalho Van Gasse-SP_e_Carlos Augusto Nogueira Júnior-SP	Macaé	Fluminense-RJ	Criciúma-SC	RJ	SC	0	02/06	Cláudio Moacyr	18h30	4120	36.8		1515	3	0	Antônio Frederico de Carvalho Schneider-RJ	N	22510	-41457.11	2013	3	1	0	0	0	0	1	4	16	8	8	1
Edivaldo Elias da Silva-PR	N	N	N	Bruno Boschilla-PR_e_Luciano Roggenbaum-PR	Caxias do Sul	Internacional-RS	Bahia-BA	RS	BA	0	02/06	Centenário	18h30	4600	100		4600	1	2	Roger Goulart-RS	N	80960	11539.22	2013	3	0	0	1	1	0	0	8	12	4	17	1
Dewson Fernando Freitas da Silva-PA	N	N	N	Cleriston Clay Barreto Rios-SE_e_Thiago Gomes Brigido-CE	Recife	Náutico-PE	Portuguesa-SP	PE	SP	0	02/06	Aflitos	18h30	13683	94.6		12942	2	2	Gilberto Rodrigues Castro Júnior-PE	N	227520	181581.69	2013	3	0	1	0	0	1	0	20	10	20	8	1
Francisco Carlos Nascimento-AL	S	N	N	Carlos Jorge Titara da Rocha-AL_e_Rondinelle dos Santos Tavares-AL	São Paulo	São Paulo-SP	Goiás-GO	SP	GO	0	05/06	Morumbi	19h30	12348	72		8892	0	1	Flávio Rodrigues Guerra-SP	N	214170	113402.67	2013	4	0	0	1	1	0	0	1	16	1	19	0
Pablo dos Santos Alves-ES	N	N	N	Fabiano da Silva Ramires-ES_e_Ramires Cândido-ES	Criciúma	Criciúma-SC	Santos-SP	SC	SP	0	05/06	Heriberto Hulse	19h30	11392	100		11392	3	1	Carlos Eduardo Vieira Areas-SC	N	158100	117314.54	2013	4	1	0	0	0	0	1	13	18	16	14	0
Wagner Reway-MT	N	N	N	Paulo César Silva Faria-MT_e_Fábio Rodrigo Rubinho-MT	São Paulo	Portuguesa-SP	Internacional-RS	SP	RS	0	05/06	Canindé	19h30	3383	66.1		2235	1	1	Leandro Bizzio Marinho-MT	N	61230	11307.29	2013	4	0	1	0	0	1	0	10	9	10	8	0
Raphael Claus-SP	N	N	N	Rogério Pablos Zanardo-SP_e_Vicente Romano Neto-SP	Volta Redonda	Vasco-RJ	Atlético Mineiro-MG	RJ	MG	0	05/06	Raulino de Oliveira	21h00	15972	10		1601	2	0	Estevão Cunha da Trindade-RJ	N	30770	-55804.57	2013	4	1	0	0	0	0	1	14	15	17	8	0
Marcos André Gomes-ES	N	N	N	Vanderson Zanotti-ES_e_Leonardo Mendonça-ES	Porto Alegre	Grêmio-RS	Vitória-BA	RS	BA	0	05/06	Arena do Grêmio	21h00	15655	100		15655	1	0	Francisco de Paula dos Santos Silva Neto-RS	N	434699	334970.86	2013	4	1	0	0	0	0	1	5	3	10	2	0
Gilberto Rodrigues Castro Júnior-PE	N	N	N	Cleriston Clay Barreto Rios-SE_e_Clóvis Amaral da Silva-PE	Campinas	Ponte Preta-SP	Atlético Paranaense-PR	SP	PR	0	05/06	Moisés Lucarelli	21h00	4584	74.7		3422	3	4	Thiago Duarte Peixoto-SP	N	22160	-29676.87	2013	4	0	0	1	1	0	0	17	10	13	14	0
André Luiz de Freitas Castro-GO	N	N	N	João Patrício de Araújo-GO_e_Marco Antônio Moreira-GO	Florianópolis	Flamengo-RJ	Náutico-PE	RJ	PE	0	05/06	Orlando Scarpelli	22h00	18976	26.5		5033	0	1	Bráulio da Silva Machado-SC	N	263189	78992.74	2013	4	0	0	1	1	0	0	18	18	18	20	0
Heber Roberto Lopes-SC	S	S	N	Kléber Lúcio Gil-SC_e_Carlos Berkenbrock-SC	Aracaju	Bahia-BA	Botafogo-RJ	BA	RJ	0	05/06	Lourival Baptista	22h00	14000	98.3		13759	2	1	Claudionor dos Santos Júnior-SE	N	386300	280810.72	2013	4	1	0	0	0	0	1	7	5	12	3	0
Jaílson Macedo Freitas-BA	N	S	N	Fábio Pereira-TO_e_Luiz Carlos Silva Teixeira-BA	Sete Lagoas	Cruzeiro-MG	Corinthians-SP	MG	SP	0	05/06	Arena do Jacaré	22h00	21676	69.6		15082	1	0	Marcos Vinícius de Sá dos Santos-MG	N	326035	196348.65	2013	4	1	0	0	0	0	1	1	10	5	6	0
Elmo Alves Resende Cunha-GO	N	N	N	Cristhian Passos Sorence-GO_e_Jesmar Benedito Miranda de Paula-GO	Curitiba	Coritiba-PR	Fluminense-RJ	PR	RJ	0	06/06	Couto Pereira	21h00	15554	100		15554	2	1	Fábio Filipus-PR	N	223684	48800.88	2013	4	1	0	0	0	0	1	3	8	6	4	0
Guilherme Ceretta de Lima-SP	N	N	N	Anderson José de Moraes Coelho-SP_e_Herman Brumel Vani-SP	Sete Lagoas	Cruzeiro-MG	Internacional-RS	MG	RS	0	08/06	Arena do Jacaré	16h20	15523	99.9		15513	2	2	Emerson de Almeida Ferreira-MG	N	335370	118362.85	2013	5	0	1	0	0	1	0	3	9	1	9	1
Jaílson Macedo Freitas-BA	N	N	N	Ivan Carlos Bohn-PR_e_Adson Márcio Lopes Leal-BA	Criciúma	Criciúma-SC	Flamengo-RJ	SC	RJ	0	08/06	Heriberto Hulse	16h20	17785	100		17785	0	3	Célio Amorim-SC	N	468590	391575.79	2013	5	0	0	1	1	0	0	14	12	13	18	1
Marcelo Aparecido Ribeiro de Souza-SP	N	N	N	Guilherme Dias Camilo-MG_e_Carlos Augusto Nogueira Júnior-SP	Volta Redonda	Vasco-RJ	Bahia-BA	RJ	BA	0	08/06	Raulino de Oliveira	18h30	16012	16.4		2623	1	1	Leonardo Garcia Cavaleiro-RJ	N	48595	-39028.33	2013	5	0	1	0	0	1	0	13	8	14	7	1
Flávio Rodrigues Guerra-SP	N	N	N	Rogério Pablos Zanardo-SP_e_Celso Barbosa de Oliveira-SP	São Paulo	Corinthians-SP	Portuguesa-SP	SP	SP	1	08/06	Pacaembu	18h30	31005	99.3		30785	0	0	Vinícius Furlan-SP	N	993277	646284.62	2013	5	0	1	0	0	1	0	10	10	10	10	1
Cláudio Francisco Lima e Silva-SE	N	N	N	Cleriston Clay Barreto Rios-SE_e_Lorival Cândido das Flores-RN	Campinas	Ponte Preta-SP	Botafogo-RJ	SP	RJ	0	08/06	Moisés Lucarelli	21h00	4231	82.1		3473	0	2	José Cláudio Rocha Filho-SP	N	33764	-22595.33	2013	5	0	0	1	1	0	0	19	3	17	5	1
Alício Pena Júnior-MG	N	N	N	Fabiano da Silva Ramires-ES_e_Celso Luiz da Silva-MG	Macaé	Fluminense-RJ	Goiás-GO	RJ	GO	0	09/06	Cláudio Moacyr	18h30	4143	41		1700	2	1	Bruno Arleu de Araújo-RJ	N	25810	-42126.67	2013	5	1	0	0	0	0	1	6	18	8	16	1
Pablo Ramon Gonçalves Pinheiro-RN	N	N	N	Vicente Romano Neto-SP_e_Marrubson Melo Freitas-DF	Curitiba	Coritiba-PR	Náutico-PE	PR	PE	0	09/06	Couto Pereira	18h30	16815	100		16815	1	0	Antônio Denival de Morais-PR	N	227124	-51116.43	2013	5	1	0	0	0	0	1	2	19	3	18	1
Anderson Daronco-RS	S	N	N	Thiago Gomes Brigido-CE_e_José Eduardo Calza-RS	Feira de Santana	Vitória-BA	Atlético Paranaense-PR	BA	PR	0	09/06	Joia da Princesa	18h30	6368	46.4		2954	3	2	Johnn Herbert Alves Bispo-BA	N	70725	23593.49	2013	5	1	0	0	0	0	1	1	14	3	10	1
Márcio Chagas da Silva-RS	N	S	N	Fábio Pereira-TO_e_José Javel Silveira-RS	Santos	Santos-SP	Atlético Mineiro-MG	SP	MG	0	12/06	Vila Belmiro	19h30	5827	71.7		4178	1	0	Thiago Duarte Peixoto-SP	N	120385	2733.47	2013	5	1	0	0	0	0	1	16	17	18	15	0
Péricles Bassols Pegado Cortez-RJ	S	N	N	Dibert Pedrosa Moisés-RJ_e_Luiz Antônio Muniz de Oliveira-RJ	Porto Alegre	Grêmio-RS	São Paulo-SP	RS	SP	0	12/06	Arena do Grêmio	22h00	15926	100		15926	1	1	Diego Almeida Real-RS	N	580550	460296.48	2013	5	0	1	0	0	1	0	7	3	5	1	0
Paulo César Oliveira-SP	S	N	N	Rogério Pablos Zanardo-SP_e_Anderson José de Moraes Coelho-SP	Brasília	Flamengo-RJ	Coritiba-PR	RJ	PR	0	06/07	Mané Garrincha	18h30	52825	100		52825	2	2	Vanderlei Soares-DF	N	2705050	1163981.59	2013	6	0	1	0	0	1	0	15	3	12	2	1
Heber Roberto Lopes-SC	S	N	N	Thiago Gomes Brigido-CE_e_Carolina Romanholi Melo-CE	São Lourenço da Mata	Náutico-PE	Ponte Preta-SP	PE	SP	0	06/07	Arena Pernambuco	18h30	27480	71.3		19601	1	3	Sebastião Rufino Ribeiro Filho-PE	N	494102	423866.69	2013	6	0	0	1	1	0	0	20	16	19	19	1
Wilton Pereira Sampaio-GO	S	S	N	Fabrício Vilarinho da Silva-GO_e_Marco Antônio Moreira-GO	Curitiba	Atlético Paranaense-PR	Grêmio-RS	PR	RS	0	06/07	Durival Britto e Silva	18h30	7531	100		7531	1	1	Adriano Milczvski-PR	N	142865	3593.42	2013	6	0	1	0	0	1	0	17	9	14	7	1
Paulo Henrique Godoy Bezerra-SC	N	S	N	Kléber Lúcio Gil-SC_e_Nadine Schramm Camara Bastos-SC	São Paulo	Portuguesa-SP	Cruzeiro-MG	SP	MG	0	06/07	Canindé	21h00	3865	71.6		2769	1	1	Flávio Rodrigues de Souza-SP	N	76860	23002.83	2013	6	0	1	0	0	1	0	14	3	10	3	1
Raphael Claus-SP	N	N	N	Carlos Augusto Nogueira Júnior-SP_e_Celso Barbosa de Oliveira-SP	São Paulo	São Paulo-SP	Santos-SP	SP	SP	1	07/07	Morumbi	16h00	15291	77.3		11819	0	2	José Cláudio Rocha Filho-SP	N	345930	219340.24	2013	6	0	0	1	1	0	0	8	10	3	16	1
Péricles Bassols Pegado Cortez-RJ	S	N	N	Dibert Pedrosa Moisés-RJ_e_Luiz Antônio Muniz de Oliveira-RJ	Salvador	Bahia-BA	Corinthians-SP	BA	SP	0	07/07	Arena Fonte Nova	16h00	25316	93.6		23684	0	2	Johnn Herbert Alves Bispo-BA	N	1038410	527051.84	2013	6	0	0	1	1	0	0	11	7	8	10	1
