jg_rod,CHAVE_1,CHAVE_2,arbitro_principal,arbitro_principal_quadro_fifa,aux1_quadro_fifa,aux2_quadro_fifa,auxiliares,cidade,clubem,clubev,estado_m,estado_v,clássico,data,estadio,hora,id_clubem,id_clubev,id_periodo,ingresso,ingresso_vendido,observacoes,pagante,placarm_tn,placarv_tn,quarto_arbitro,quarto_arbitro_quadro_fifa,renda_bruta,renda_liq,renda_liq_sort,valor_renda_liq,ano,rodada,vitoria_m,empate_m,derrota_m,vitoria_v,empate_v,derrota_v,mandante_posicao_final_rodada,Visitante_posicao_final_rodada,CHAVE_1A,CHAVE_2B,mandante_posicao_inicio_rodada,Visitante_posicao_inicio_rodada,man_gf_ini_rod,vis_gf_ini_rod,man_gt_ini_rod,vis_gt_ini_rod,man_saldo_ini_rod,vis_saldo_ini_rod,man_mean_gf_ini_r,vis_mean_gf_ini_r,man_mean_gt_ini_r,vis_mean_gt_ini_r,man_mean_saldo_ini_r,vis_mean_saldo_ini_r,gs_partida,jg_fds,resultado_time_mandante,fator_resultado
6,20144Chapecoense-SC,20144Grêmio-RS,Dewson Fernando Freitas da Silva-PA,N,N,N,Márcio Gleidson Correia Dias-PA_e_Heronildo Sebastião Freitas da Silva-PA,Chapecó,Chapecoense-SC,Grêmio-RS,SC,RS,0,11/05,Arena Condá,16h00,44,12,5,19165,100,,19165,1,2,Evandro Bender-SC,N,595640,500925.08,500925.08,500925.08,2014,4,0,0,1,1,0,0,19,5,20143Chapecoense-SC,20143Grêmio-RS,17,8,1,2,3,2,-2,0,0.3333333333,0.6666666667,1,0.6666666667,-0.6666666667,0,3,1,derrota,-1
7,20144Coritiba-PR,20144Sport-PE,Jean Pierre Gonçalves Lima-RS,N,N,N,Rafael da Silva Alves-RS_e_Lúcio Beiersdorf Flor-RS,Curitiba,Coritiba-PR,Sport-PE,PR,PE,0,11/05,Couto Pereira,18h30,7,19,5,10832,100,,10832,0,1,Fábio Filipus-PR,N,165586,-43075.18,-43075.18,-43075.18,2014,4,0,0,1,1,0,0,17,5,20143Coritiba-PR,20143Sport-PE,13,8,2,4,2,4,0,0,0.6666666667,1.3333333333,0.6666666667,1.3333333333,0,0,1,1,derrota,-1
8,20144Bahia-BA,20144Vitória-BA,Wilton Pereira Sampaio-GO,S,S,S,Márcio Eustáquio Santiago-MG_e_Fábio Pereira-TO,Salvador,Bahia-BA,Vitória-BA,BA,BA,1,11/05,Arena Fonte Nova,18h30,5,40,5,21352,100,,21352,1,1,Gleidson Santos Oliveira-BA,N,623603.5,148511.82,148511.82,148511.82,2014,4,0,1,0,0,1,0,4,13,20143Bahia-BA,20143Vitória-BA,7,8,4,4,2,4,2,0,1.3333333333,1.3333333333,0.6666666667,1.3333333333,0.6666666667,0,2,1,empate,0
9,20144Figueirense-SC,20144Santos-SP,Francisco Carlos Nascimento-AL,S,N,N,Carlos Jorge Titara da Rocha-AL_e_Thalis Augusto Monteiro-AL,Londrina,Figueirense-SC,Santos-SP,SC,SP,0,11/05,Café,18h30,9,17,5,7806,100,,7806,0,2,Leandro Júnior Hermes-PR,N,258885,38836.53,38836.53,38836.53,2014,4,0,0,1,1,0,0,20,9,20143Figueirense-SC,20143Santos-SP,20,13,0,1,6,1,-6,0,0,0.3333333333,2,0.3333333333,-2,0,2,1,derrota,-1
0,20145Goiás-GO,20145Botafogo-RJ,Ricardo Marques Ribeiro-MG,S,N,N,Guilherme Dias Camilo-MG_e_Marconi Helbert Vieira-MG,Juiz de Fora,Goiás-GO,Botafogo-RJ,GO,RJ,0,14/05,Mário Helênio,22h00,32,6,5,12000,81.1,,9737,2,0,Marcos Vinícius de Sá dos Santos-MG,N,268550,171442.38,171442.38,171442.38,2014,5,1,0,0,0,0,1,2,13,20144Goiás-GO,20144Botafogo-RJ,9,11,2,8,2,6,0,2,0.5,2,0.5,1.5,0,0.5,2,0,Vitoria,1
1,20145Cruzeiro-MG,20145Coritiba-PR,André Luiz de Freitas Castro-GO,N,S,N,Fabrício Vilarinho da Silva-GO_e_Cristhian Passos Sorence-GO,Belo Horizonte,Cruzeiro-MG,Coritiba-PR,MG,PR,0,17/05,Mineirão,18h30,8,7,5,11670,99.9,,11663,3,2,Renato Cardoso Conceição-MG,N,378245,38380.32,38380.32,38380.32,2014,5,1,0,0,0,0,1,2,18,20144Cruzeiro-MG,20144Coritiba-PR,5,17,7,2,6,3,1,-1,1.75,0.5,1.5,0.75,0.25,-0.25,5,1,Vitoria,1
2,20145Flamengo-RJ,20145São Paulo-SP,Ricardo Marques Ribeiro-MG,S,N,N,Guilherme Dias Camilo-MG_e_Pablo Almeida Costa-MG,Rio de Janeiro,Flamengo-RJ,São Paulo-SP,RJ,SP,0,18/05,Maracanã,16h00,10,18,5,22781,87.2,,19871,0,2,Estevão Cunha da Trindade-RJ,N,968230,256494.76,256494.76,256494.76,2014,5,0,0,1,1,0,0,16,7,20144Flamengo-RJ,20144São Paulo-SP,16,5,4,7,6,4,-2,3,1,1.75,1.5,1,-0.5,0.75,2,1,derrota,-1
3,20145Corinthians-SP,20145Figueirense-SC,Jaílson Macedo Freitas-BA,N,S,N,Alessandro Álvaro Rocha Mattos-BA_e_Adson Márcio Lopes Leal-BA,São Paulo,Corinthians-SP,Figueirense-SC,SP,SC,0,18/05,Arena Corinthians,16h00,2,9,5,36123,100,,36123,0,1,Flávio Rodrigues de Souza-SP,N,3029801.7,2379914.22,2379914.22,2379914.22,2014,5,0,0,1,1,0,0,8,19,20144Corinthians-SP,20144Figueirense-SC,3,20,4,0,1,8,3,-8,1,0,0.25,2,0.75,-2,1,1,derrota,-1
4,20145Atlético Paranaense-PR,20145Chapecoense-SC,Grazianni Maciel Rocha-RJ,N,N,N,Wendel de Paiva Gouveia-RJ_e_Carlos Henrique Alves Filho-RJ,Maringá,Atlético Paranaense-PR,Chapecoense-SC,PR,SC,0,18/05,Willie Davids,16h00,25,44,5,766,100,,766,1,1,Antônio Denival de Morais-PR,N,24680,-34832,-34832,-34832,2014,5,0,1,0,0,1,0,13,19,20144Atlético Paranaense-PR,20144Chapecoense-SC,14,19,6,2,7,5,-1,-3,1.5,0.5,1.75,1.25,-0.25,-0.75,2,1,empate,0
5,20145Grêmio-RS,20145Fluminense-RJ,Sandro Meira Ricci-PE,S,S,S,Emerson Augusto de Carvalho-SP_e_Marcelo Carvalho Van Gasse-SP,Porto Alegre,Grêmio-RS,Fluminense-RJ,RS,RJ,0,18/05,Arena do Grêmio,16h00,12,11,5,19328,100,,19328,1,0,Roger Goulart-RS,N,734734,589624.31,589624.31,589624.31,2014,5,1,0,0,0,0,1,2,6,20144Grêmio-RS,20144Fluminense-RJ,5,1,4,7,3,2,1,5,1,1.75,0.75,0.5,0.25,1.25,1,1,Vitoria,1
6,20145Santos-SP,20145Atlético Mineiro-MG,Péricles Bassols Pegado Cortez-RJ,S,N,N,Eduardo de Souza Couto-RJ_e_Michael Corrêia-RJ,Cuiabá,Santos-SP,Atlético Mineiro-MG,SP,MG,0,18/05,Arena Pantanal,18h30,17,4,5,15600,100,,15600,1,2,Rafael Odílio Ramos dos Santos-MT,N,726000,596229.94,596229.94,596229.94,2014,5,0,0,1,1,0,0,11,12,20144Santos-SP,20144Atlético Mineiro-MG,9,14,3,3,1,4,2,-1,0.75,0.75,0.25,1,0.5,-0.25,3,1,derrota,-1
7,20145Vitória-BA,20145Palmeiras-SP,Leandro Pedro Vuaden-RS,S,N,N,Rafael da Silva Alves-RS_e_Lúcio Beiersdorf Flor-RS,Salvador,Vitória-BA,Palmeiras-SP,BA,SP,0,18/05,Pituaçu,18h30,40,1,5,8776,96.7,,8484,0,1,Manoel Nunes Lopo Garrido-BA,N,116892,30932.37,30932.37,30932.37,2014,5,0,0,1,1,0,0,13,9,20144Vitória-BA,20144Palmeiras-SP,13,12,5,6,5,6,0,0,1.25,1.5,1.25,1.5,0,0,1,1,derrota,-1
8,20145Criciúma-SC,20145Internacional-RS,Raphael Claus-SP,N,N,N,Anderson José de Moraes Coelho-SP_e_Carlos Augusto Nogueira Júnior-SP,Criciúma,Criciúma-SC,Internacional-RS,SC,RS,0,18/05,Heriberto Hulse,18h30,31,13,5,13047,100,,13047,0,0,Célio Amorim-SC,N,295940,238923.98,238923.98,238923.98,2014,5,0,1,0,0,1,0,17,1,20144Criciúma-SC,20144Internacional-RS,18,1,2,7,9,4,-7,3,0.5,1.75,2.25,1,-1.75,0.75,0,1,empate,0
9,20145Sport-PE,20145Bahia-BA,Marcelo Aparecido Ribeiro de Souza-SP,N,N,N,Daniel Paulo Ziolli-SP_e_Bruno Salgado Rizo-SP,Recife,Sport-PE,Bahia-BA,PE,BA,0,04/06,Ilha do Retiro,21h00,19,5,5,17710,80.1,,14177,1,0,Gilberto Freire de Farias-PE,N,255000,182000.74,182000.74,182000.74,2014,5,1,0,0,0,0,1,2,10,20144Sport-PE,20144Bahia-BA,5,4,5,5,4,3,1,2,1.25,1.25,1,0.75,0.25,0.5,1,0,Vitoria,1
0,20146Flamengo-RJ,20146Bahia-BA,Gilberto Rodrigues Castro Júnior-PE,N,N,N,Clóvis Amaral da Silva-PE_e_Elan Vieira de Souza-PE,Macaé,Flamengo-RJ,Bahia-BA,RJ,BA,0,21/05,Cláudio Moacyr,19h30,10,5,5,13686,70.2,,9614,1,1,Philip Georg Bennett-RJ,N,275990,102497.64,102497.64,102497.64,2014,6,0,1,0,0,1,0,17,11,20145Flamengo-RJ,20145Bahia-BA,16,10,4,5,8,4,-4,1,0.8,1,1.6,0.8,-0.8,0.2,2,0,empate,0
1,20146Coritiba-PR,20146Internacional-RS,Elmo Alves Resende Cunha-GO,N,N,N,Rodrigo F. Henrique Correa-RJ_e_Bruno Pires-GO,Curitiba,Coritiba-PR,Internacional-RS,PR,RS,0,21/05,Couto Pereira,19h30,7,13,5,11599,100,,11599,1,1,Rafael Traci-PR,N,231365,14146.14,14146.14,14146.14,2014,6,0,1,0,0,1,0,18,4,20145Coritiba-PR,20145Internacional-RS,18,1,4,7,6,4,-2,3,0.8,1.4,1.2,0.8,-0.4,0.6,2,0,empate,0
2,20146Cruzeiro-MG,20146Sport-PE,Felipe Gomes da Silva-PR,N,S,N,Bruno Boschilla-PR_e_Rafael Trombeta-PR,Belo Horizonte,Cruzeiro-MG,Sport-PE,MG,PE,0,21/05,Mineirão,21h00,8,19,5,13685,100,,13679,2,0,Cleisson Veloso Pereira-MG,N,403720,-32782.29,-32782.29,-32782.29,2014,6,1,0,0,0,0,1,1,10,20145Cruzeiro-MG,20145Sport-PE,2,2,10,6,8,4,2,2,2,1.2,1.6,0.8,0.4,0.4,2,0,Vitoria,1
3,20146Criciúma-SC,20146Chapecoense-SC,Heber Roberto Lopes-SC,S,N,N,Ângelo Rudimar Bechi-SC_e_Helton Nunes-SC,Criciúma,Criciúma-SC,Chapecoense-SC,SC,SC,1,21/05,Heriberto Hulse,21h00,31,44,5,7336,100,,7336,1,0,Evandro Bender-SC,N,84910,50270.43,50270.43,50270.43,2014,6,1,0,0,0,0,1,16,19,20145Criciúma-SC,20145Chapecoense-SC,17,19,2,3,9,6,-7,-3,0.4,0.6,1.8,1.2,-1.4,-0.6,1,0,Vitoria,1
4,20146Fluminense-RJ,20146São Paulo-SP,Paulo Henrique Godoy Bezerra-SC,N,S,N,Alessandro Álvaro Rocha Mattos-BA_e_Carlos Berkenbrock-SC,Rio de Janeiro,Fluminense-RJ,São Paulo-SP,RJ,SP,0,21/05,Maracanã,22h00,11,18,5,21867,69.2,,15125,5,2,Wagner dos Santos Rosa-RJ,N,276080,79258.72,79258.72,79258.72,2014,6,1,0,0,0,0,1,2,7,20145Fluminense-RJ,20145São Paulo-SP,6,7,7,9,3,4,4,5,1.4,1.8,0.6,0.8,0.8,1,7,0,Vitoria,1
5,20146Corinthians-SP,20146Atlético Paranaense-PR,Marcelo de Lima Henrique-RJ,S,N,N,Dibert Pedrosa Moisés-RJ_e_Luiz Cláudio Regazone-RJ,São Paulo,Corinthians-SP,Atlético Paranaense-PR,SP,PR,0,21/05,Canindé,22h00,2,25,5,13196,99.6,,13137,1,1,Luiz Flávio de Oliveira-SP,N,383542.5,119134.73,119134.73,119134.73,2014,6,0,1,0,0,1,0,7,13,20145Corinthians-SP,20145Atlético Paranaense-PR,8,13,4,7,2,8,2,-1,0.8,1.4,0.4,1.6,0.4,-0.2,2,0,empate,0
6,20146Grêmio-RS,20146Botafogo-RJ,Flávio Rodrigues de Souza-SP,N,S,N,Kléber Lúcio Gil-SC_e_Márcio Luiz Augusto-SP,Caxias do Sul,Grêmio-RS,Botafogo-RJ,RS,RJ,0,21/05,Alfredo Jaconi,22h00,12,6,5,19690,35.6,,7010,2,1,Francisco de Paula dos Santos Silva Neto-RS,N,183940,72989.18,72989.18,72989.18,2014,6,1,0,0,0,0,1,2,14,20145Grêmio-RS,20145Botafogo-RJ,2,13,5,8,3,8,2,0,1,1.6,0.6,1.6,0.4,0,3,0,Vitoria,1
7,20146Palmeiras-SP,20146Figueirense-SC,Paulo Henrique Schleich Vollkoph-MS,N,S,N,Fabrício Vilarinho da Silva-GO_e_Paulo César Silva Faria-MT,Araraquara,Palmeiras-SP,Figueirense-SC,SP,SC,0,22/05,Arena Fonte Luminosa,19h30,1,9,5,12455,87.3,,10870,1,0,José Cláudio Rocha Filho-SP,N,340375,141032.73,141032.73,141032.73,2014,6,1,0,0,0,0,1,4,20,20145Palmeiras-SP,20145Figueirense-SC,9,19,7,1,6,8,1,-7,1.4,0.2,1.2,1.6,0.2,-1.4,1,0,Vitoria,1
