unidade,pib2010,capita2010,pib2011,capita2011,pib2012,capita2012,pib2013,capita2013
Fontoura Xavier,99873,9323.44,120153,11269.25,114654,10810.28,131531,12017.46
Formigueiro,84747,12082.55,87999,12625.35,98412,14209,132646,18567.54
Forquetinha,38325,15497.25,30055,12173.04,31497,12813.89,36902,14545.37
Fortaleza dos Valos,112717,24626.93,147774,32520.77,138671,30727.1,223030,47922.14
Frederico Westphalen,620462,21507.97,622009,21446.37,667868,22905.15,789981,26114.21
Garibaldi,1018122,33172.23,1133049,36533.48,1319401,42115.72,1458893,44781.54
Garruchos,59950,18543.06,65281,20394.06,58761,18548.38,97517,29913.11
Gaurama,98438,16792.56,112941,19398.97,128269,22180.3,157713,26448.62
General Câmara,95702,11322.98,90960,10796.49,91727,10914.71,126782,14597.77
Gentil,49008,29223.33,61118,36597.63,72602,43657.34,88062,51288.52
Getúlio Vargas,290502,17981.03,329806,20450.55,349336,21696.55,406644,24427.45
Giruá,376826,22055.98,442171,26091.39,376322,22369.5,552581,31861.89
Glorinha,292016,42413.36,305079,43682.61,359168,50772.95,358176,48638.83
Gramado,905035,28019.66,1022022,31392.75,1208363,36807.8,1341090,39316.64
Gramado dos Loureiros,23629,10413.97,27913,12416.68,21806,9787.26,40344,17578.91
Gramado Xavier,39590,9972.31,47312,11845.8,49402,12301.34,60372,14484.65
Gravataí,7313789,28596.07,7999221,31073.63,8421965,32499.92,10197232,37904.83
Guabiju,31182,19513,32459,20453.25,33746,21412.68,46119,28380.77
Guaíba,2917876,30640.31,3155674,33122.43,3607168,37834.78,4174309,42298.04
Guaporé,427348,18735.14,468361,20340.54,510519,21976.73,593146,24569.06
Guarani das Missões,159033,19597.37,172404,21421.99,175867,22030.13,237869,28913.22
Harmonia,64698,15208.79,75553,17570.55,90287,20784.27,99072,21933.23
Herval,57209,8466.62,57230,8483.6,68209,10121.48,84802,12168.43
Herveiras,34642,11727.22,39689,13435.71,33911,11479.69,51710,16920.83
Horizontina,894636,48753.99,1027644,55856.28,1033167,56010.34,1621501,84842.04
Hulha Negra,72824,12040.99,89290,14647.3,98974,16101.26,123501,19339.28
Humaitá,79487,16159.22,87444,17860.37,85180,17480.09,119641,23785.5
Ibarama,45533,10417.04,51812,11845.47,50668,11599.75,69023,15284.07
Ibiaçá,87115,18495.67,106274,22606.58,101928,21723.73,163456,33702.35
Ibiraiaras,132215,18427.13,146603,20441.02,169592,23643.09,202135,27234.58
Ibirapuitã,51795,12754.25,62378,15405.9,59552,14751.48,93458,22411.95
Ibirubá,504512,26124.29,595684,30762.44,708679,36501.64,919233,45696.6
Igrejinha,1022540,32294.49,1141508,35632.03,1241973,38333.68,1326577,39351.46
Ijuí,1628738,20637.83,2074596,26207.63,2360458,29730.19,2760178,33547.79
Ilópolis,60741,14822.08,67470,16492.18,68746,16853.55,93574,22200.32
Imbé,251720,14248.05,260542,14404.94,308767,16699.15,333429,17242.19
Imigrante,110007,36366.05,122647,40531.01,127059,41947.37,167668,53482.7
Independência,103417,15626.57,136981,20862.14,92484,14197.7,171734,25578.48
Inhacorá,31552,13917.83,39327,17408.97,25491,11324.19,49315,21219.78
Ipê,108768,18076.74,112290,18532.68,113849,18660.7,158424,25011.74
Ipiranga do Sul,51083,26277.23,60021,31002.62,57024,29591.96,77417,38903.22
